title,price,link
,,
Micro-ondas Philco 20l Branco 1100w Pmo23bb Limpa Fácil 220v,649,https://produto.mercadolivre.com.br/MLB-2648109410-micro-ondas-philco-20l-branco-1100w-pmo23bb-limpa-facil-220v-_JM#polycard_client=offers&wid=MLB2648109410&sid=offers
Tablet Samsung Galaxy Tab S6 Lite 64gb 4gb Ram Wifi Cor Cinza,2.599,https://produto.mercadolivre.com.br/MLB-5041324376-tablet-samsung-galaxy-tab-s6-lite-64gb-4gb-ram-wifi-cor-cinza-_JM#polycard_client=offers&wid=MLB5041324376&sid=offers
"Notebook Lenovo Ideapad 1i Intel Core I5 - 1235u, 8gb Ram, 512gb Ssd, Windows 11 Home, Tela 15,6'' Hd - 82vy000qbr",4.831,https://produto.mercadolivre.com.br/MLB-3838673021-notebook-lenovo-ideapad-1i-intel-core-i5-1235u-8gb-ram-512gb-ssd-windows-11-home-tela-156-hd-82vy000qbr-_JM#polycard_client=offers&wid=MLB3838673021&sid=offers
"Notebook Acer Aspire Vero Av15-51-577q Intel Core I5, 16gb Ram, 512gb Ssd, 15.6 Full Hd, W11 Pro",5.831,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=haKrXrsf8WnGLzTI8SPgGKyl3J6kqdMccbLNPpZx2wJBZPXavsM%2BML0QpApgJQUsBIGALNho8X5r3He99kHU6CkCKMDF30MBUyaWSfLW64YWlctxhm7mzXWRmDU4U%2FkCWIXEHYXYRbs3pAbV%2Bc6cTV6ehX%2FxDTnSEEMr26pzgn4P9gOlRSy0%2FNRDMMj991x0V7tnNA0s9Q6I2VI6ploxHCLh5L0fMb4FY2Q%2FA8bfsPeG8VXhFzZS%2FAyzsZIcI9HdpTcYfalPc2rmDJoOCmKYRzgN2LEjulzMRZrWOpHEJm8ooCeyvu2bq8F19APxGhDM%2BoBddEz3X29oBSbqwGuuWlBLWivHEGlWEZ2SQ9ZuDWSPHV%2BadYl%2Bj%2FH2oeXqDmTlmXWRqkWuXkNCCXEHyUYYSPnT4kzXWjZshaOYq2omDwmN9YZi9OIfXIELh6rLjSnvHaD%2FmMzsEY06%2Fq82GAUHcfFGsn5WqD%2FBjdZUT0a%2FsrDsDsHenEgisrIoB9vocRkNOuhvpS3weAXQ1fte%2F89H4S2%2F79l4xVy9ck0NGmRiFPGWuwS4rjOaVsZjq3zKxICl8f4OAV%2FlZL1grRq7csjuoqFK5Ox85FkUHuuhBd9kyMXbz%2BKT1IyaCZ%2BlWb%2F6JhuBrw4XMmW7mcG1p9dawaF9SHVBsA%3D%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fdiscard-bid-lt-min%2B45362#polycard_client=offers&wid=MLB4936121334&sid=offers
Smart Tv 65  4k LG Uhd Thinq Ai 65ur8750psa Hdr Bluetooth Alexa Airplay2 3 Hdmi Preto,4.110,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=H0PS7CfES%2FdyBdFfJIQs3gBVLBgH7nr3%2FAAUH715N7ucc5HekvFE%2B1HalJsg79l6DyUN7jmMrIZyvHvXLRSDZzl0eiK1M2Q3Fb4vrbEoeWMogXGN3veXSlwB8XfgfIgtPEvfpLf1QvsrjS%2B4uRxMER6c4r6Fg8%2BZswbW4ECfYsxAkCaYY%2B7hIYgcqZmH5s26S5g8adF%2FgHkNCthybB%2FjF6nlit%2BqBYNkMQZhm8MIavZ9VvXygsECoz3MaLbkEMNCVqawmYriaBV3iWtSi9V4JzaNdN%2F2UyqiZrrZO9PBqBAaL%2BgMyoKx0qX3xaqDKTNNOnbDpvl4o3NOTwtHIoVdtIQGPhmCgcRAZfPYoYIOIepOEbWgGPTF5%2F6c0sU40FNnwUwQ3MZoLL3yjeKyy92VvNOzOzqvwzOeoh%2Bjfr5uuVcQDbqwSxoRKxvNDfuRoaQPUjtRqB1AceWtHM4TS1a7Z1wCDiHfB69vNib%2F9Y5AtjzbDzvHnc81j2crFv0FHEOwlVaonaJXgzPeqXIJrqjRebbCfDwpCuFvNUEIU9GRHCbqry69k%2F6mae8awxHtjKtCUJSi7KE%2F%2FRmIz1iVzCVEAhG7pDpwK%2F1qWbl%2FfEOwLlL2%2BTnu70S%2F8HpRQaQG9bU0KFS01bvT06FZY2SN&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fdiscard-bid-lt-min%2B45362#polycard_client=offers&wid=MLB4590776330&sid=offers
Motorola Moto G34 5g 128 Gb Preto 4 Gb,1.099,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mc%2BuccMqjGDn3oeK7oClSV1t7VHiPsORvsSNbGSz4r3s6RjHWvb2kDyEgw3OVDpkTrUY68uedesRoc2Ygho4DCGxjuWlfbB%2Fb0Nbal8ZgYassYdX2M2nW3j%2FN4LNH%2Fuk%2FviAlNUbJZ8riXVssFFoo%2BQ591lpj9Dp7X0v%2F7lqbeOMag5imZTpSBKLCVm4PZBcEyefecXxUk6AnqGT5lcdGr8%2FmKM%2FQkz9gultx6ggaXalp1d7zON2LrseclVo0b1d%2FyMKQe%2Bx4t%2FhBbLUw0AaCRkUXJaiXRhJn5Pj4%2BIF7l2%2FPa8gqG5BV%2FB3trbFtgOHA82w87TrvLcc6qrKCKjdeWxlwe%2F%2BfyaLtPnaqzY9%2B2THs0vNFwpUfINqzv52M5p08TYG%2BItCiPVA1y8z58JlTdS3VT43SstQjBbcJh1DJnfM0FguCrSXH%2BszlXHzmalxjJQHBhCKcaRRtKct%2BcR%2BA4O%2BUWZIdCjnL2cK719KNXAGhIonv271cPfTQR0GbeoL22G2q7w8V8At8ksSYBL%2FriBaNNJpZ8dY24RPeiK7y8sfdut%2BkJ3cIGE9BHLOiyyt4sXUvx41KKo8SKBIO2I%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fdiscard-bid-lt-min%2B45362#polycard_client=offers&wid=MLB4484609574&sid=offers
Smart Tv De 55  LG Uhd Ai Thinq 55ur871c0sa Com Tela Lcd 4k 127/220v,3.815,https://produto.mercadolivre.com.br/MLB-3490996051-smart-tv-de-55-lg-uhd-ai-thinq-55ur871c0sa-com-tela-lcd-4k-127220v-_JM#polycard_client=offers&wid=MLB3490996051&sid=offers
Smartphone Motorola Moto G34 5g - 256gb 16gb Ram Boost Ai Camera 50mp Nfc - Verde,1.529,https://produto.mercadolivre.com.br/MLB-3566320613-smartphone-motorola-moto-g34-5g-256gb-16gb-ram-boost-ai-camera-50mp-nfc-verde-_JM#polycard_client=offers&wid=MLB3566320613&sid=offers
Creatina Monohidratada Pura 500g Dark Lab Unidade,93,https://produto.mercadolivre.com.br/MLB-4812143184-creatina-monohidratada-pura-500g-dark-lab-unidade-_JM#polycard_client=offers&wid=MLB4812143184&sid=offers
